ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350516.05,5350516.05,5350516.05,6210.0,2167.0,2125.0,105000.0,91000.0,0.18588235294117647,1735.0,395.0,750000.0,21600.0,1780.0,1800.0,750000.0
2021S05075350516.06,5350516.06,5350516.06,4784.0,1528.0,1465.0,111000.0,96000.0,0.18556701030927836,1185.0,270.0,755000.0,17520.0,1920.0,1460.0,755000.0
2021S05075350516.08,5350516.08,5350516.08,6218.0,2362.0,2290.0,86000.0,76500.0,0.5163398692810458,1110.0,1185.0,820000.0,15720.0,1840.0,1310.0,820000.0
2021S05075350516.09,5350516.09,5350516.09,6899.0,2593.0,2520.0,103000.0,89000.0,0.14087301587301587,2165.0,355.0,800000.0,18000.0,1800.0,1500.0,800000.0
2021S05075350516.11,5350516.11,5350516.11,4699.0,1453.0,1435.0,144000.0,121000.0,0.04861111111111111,1370.0,70.0,1200000.0,20880.0,1270.0,1740.0,1200000.0
2021S05075350516.16,5350516.16,5350516.16,5132.0,2230.0,2035.0,103000.0,90000.0,0.2113022113022113,1600.0,430.0,1000000.0,24000.0,1660.0,2000.0,1000000.0
2021S05075350516.17,5350516.17,5350516.17,3403.0,1365.0,1330.0,97000.0,85000.0,0.2,1060.0,265.0,790000.0,19440.0,1250.0,1620.0,790000.0
2021S05075350516.18,5350516.18,5350516.18,3428.0,1190.0,1175.0,120000.0,103000.0,0.12340425531914893,1030.0,145.0,900000.0,16080.0,1760.0,1340.0,900000.0
2021S05075350516.20,5350516.20,5350516.20,6104.0,1877.0,1855.0,140000.0,119000.0,0.08355795148247978,1700.0,155.0,950000.0,19920.0,1900.0,1660.0,950000.0
2021S05075350516.21,5350516.21,5350516.21,2898.0,886.0,870.0,153000.0,129000.0,0.03529411764705882,820.0,30.0,1150000.0,22320.0,2020.0,,1150000.0
2021S05075350516.22,5350516.22,5350516.22,6826.0,1967.0,1935.0,148000.0,125000.0,0.059278350515463915,1820.0,115.0,950000.0,22800.0,2100.0,1900.0,950000.0
2021S05075350516.23,5350516.23,5350516.23,5541.0,1646.0,1635.0,140000.0,121000.0,0.07951070336391437,1505.0,130.0,1000000.0,18000.0,1940.0,1500.0,1000000.0
2021S05075350516.24,5350516.24,5350516.24,3953.0,1241.0,1220.0,144000.0,122000.0,0.028688524590163935,1180.0,35.0,1100000.0,24000.0,1780.0,2000.0,1100000.0
2021S05075350516.25,5350516.25,5350516.25,3749.0,1242.0,1215.0,115000.0,102000.0,0.24796747967479674,915.0,305.0,1100000.0,10200.0,1070.0,850.0,1100000.0
2021S05075350516.26,5350516.26,5350516.26,6580.0,2035.0,1990.0,118000.0,104000.0,0.23115577889447236,1530.0,460.0,1000000.0,15600.0,1780.0,1300.0,1000000.0
2021S05075350516.28,5350516.28,5350516.28,4571.0,1443.0,1425.0,133000.0,113000.0,0.10344827586206896,1295.0,150.0,1000000.0,30240.0,1960.0,2520.0,1000000.0
2021S05075350516.29,5350516.29,5350516.29,4699.0,1501.0,1465.0,114000.0,100000.0,0.3472222222222222,940.0,500.0,1000000.0,15600.0,1510.0,1300.0,1000000.0
2021S05075350516.30,5350516.30,5350516.30,5955.0,1720.0,1685.0,156000.0,130000.0,0.09198813056379822,1530.0,155.0,1500000.0,30960.0,2240.0,2580.0,1500000.0
2021S05075350516.31,5350516.31,5350516.31,2713.0,941.0,905.0,131000.0,111000.0,0.08791208791208792,830.0,80.0,1200000.0,20880.0,1330.0,1740.0,1200000.0
2021S05075350516.32,5350516.32,5350516.32,4971.0,1447.0,1430.0,144000.0,124000.0,0.037800687285223365,1395.0,55.0,920000.0,26160.0,2140.0,2180.0,920000.0
2021S05075350516.37,5350516.37,5350516.37,9288.0,3892.0,3720.0,81000.0,70500.0,0.44549125168236875,2065.0,1655.0,700000.0,24720.0,1480.0,2060.0,700000.0
2021S05075350516.38,5350516.38,5350516.38,6492.0,1907.0,1855.0,114000.0,101000.0,0.24528301886792453,1400.0,455.0,950000.0,27120.0,2120.0,2260.0,950000.0
2021S05075350516.39,5350516.39,5350516.39,5087.0,1335.0,1310.0,137000.0,119000.0,0.12015503875968993,1135.0,155.0,1000000.0,29760.0,2240.0,2480.0,1000000.0
2021S05075350516.40,5350516.40,5350516.40,6304.0,1819.0,1785.0,140000.0,120000.0,0.09243697478991597,1615.0,165.0,900000.0,29040.0,2120.0,2420.0,900000.0
2021S05075350516.41,5350516.41,5350516.41,5727.0,1702.0,1665.0,116000.0,102000.0,0.23423423423423423,1280.0,390.0,900000.0,27360.0,2060.0,2280.0,900000.0
2021S05075350516.43,5350516.43,5350516.43,3930.0,1409.0,1370.0,108000.0,92000.0,0.1781818181818182,1125.0,245.0,850000.0,26400.0,1480.0,2200.0,850000.0
